mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0003381104591439812,0.6,235.59379649162292,8,0.06733631421853681,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010668039321899414,8
0.00014050464712963063,0.6,1004.2929782867432,16,0.0283410088103333,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.01108241081237793,16
0.00011072500783112366,0.8,1824.5940022468567,32,0.011559509442027993,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010942459106445312,32
0.00015781766660157224,0.6,2916.99564909935,64,0.004903324323467129,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.01079559326171875,63
6.480271922710624e-05,1.0,4942.819132089615,128,0.0026815697142689165,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.01082754135131836,127
4.803506069017937e-05,1.0,10989.981202363968,256,0.0016095602685181065,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.010044097900390625,256
0.0003590905653478069,0.4,300.49842643737793,8,0.057704597100887656,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.011224508285522461,8
0.00020229499364771172,0.6,667.3758623600006,16,0.02941454669080057,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010358572006225586,16
0.000168419463458113,0.6,780.8604261875153,32,0.01201973075579793,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.01628899574279785,32
9.147717712461705e-05,0.8,2476.9439821243286,64,0.005369786282348632,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.015051841735839844,64
9.070229892215546e-05,1.0,4144.060120582581,128,0.002526527350737051,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010763168334960938,127
7.052022239197686e-05,1.0,10278.038326501846,256,0.0016665667152366281,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.010071992874145508,256
0.00032829612837291603,0.6,162.65492987632751,8,0.05502075252108435,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.012538909912109375,8
0.00015986406974675203,0.6,879.3960678577423,16,0.02518523605426476,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.01036381721496582,16
0.00014891503452297815,0.8,906.5859563350677,32,0.011049744235393788,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.016182422637939453,32
7.935388921328437e-05,1.0,3694.3210792541504,64,0.004951470261774393,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.016350269317626953,64
4.6902947499395525e-05,1.0,5250.123886823654,128,0.002679899587172463,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.015319585800170898,126
5.694064435105734e-05,1.0,10081.557940244675,256,0.0016874148897887964,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.014799356460571289,256
0.0005625000300611666,0.2,215.42642426490784,8,0.05690303669727931,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010938882827758789,8
0.00016689566892592506,0.8,1050.7491309642792,16,0.02571504600601565,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010558605194091797,16
0.00020181225224867667,0.6,854.6117839813232,32,0.011358421386999551,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.013905763626098633,32
0.00010050190804758231,0.8,2084.6141500473022,64,0.005321855094272188,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.015478134155273438,64
8.000164024610714e-05,0.8,5268.950923204422,128,0.002819899333225795,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010421514511108398,126
4.8992036710667676e-05,1.0,11609.216974973679,256,0.0016277418498866214,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.012712955474853516,256
0.0004940678334310703,0.4,137.4865620136261,8,0.06272878007288113,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.014003753662109375,8
0.00015440533672356037,0.8,756.259964466095,16,0.02602110681202563,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010527372360229492,16
0.00016143510066134263,0.8,1053.5884993076324,32,0.012918207650126079,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.012818336486816406,32
9.452730221926156e-05,0.6,3987.263818025589,64,0.004948064712586742,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.05215597152709961,63
9.556528962583667e-05,0.8,3363.820410966873,128,0.0027032150563118806,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.015021562576293945,127
5.196920609282987e-05,1.0,12283.15978550911,256,0.0014943547328169493,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.01417994499206543,256
0.0002705765382779717,0.8,407.42578983306885,8,0.0547445936532831,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0122833251953125,8
0.00023063869926307637,0.8,547.4358901977539,16,0.028969059015992338,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.014199018478393555,16
0.00026457556065817507,0.6,1184.1422235965729,32,0.011748898944961672,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.01194000244140625,32
8.517307419212288e-05,0.8,3411.2223856449127,64,0.0056767671975628264,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.015558242797851562,64
0.00010136343738227852,0.8,5009.831246376038,128,0.0027835448605187385,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010795354843139648,127
6.232678891089038e-05,1.0,11799.59916305542,256,0.0016363380423556895,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.014672279357910156,256
0.00048348482856783734,0.8,142.8758819103241,8,0.05892984970789428,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.013557672500610352,8
0.00016970652347652408,0.8,610.027886390686,16,0.022479330486012472,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010300636291503906,16
0.00017626987591062065,0.8,1379.556780576706,32,0.01167052054611778,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.013924121856689453,32
0.00010031276007693065,0.8,2835.2630956172943,64,0.0050437275618558375,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.015004873275756836,64
7.703138763089391e-05,0.8,4427.221341848373,128,0.002495189272378018,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.015144109725952148,127
3.61064947117478e-05,1.0,11297.975248098373,256,0.0015710915498445832,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.013347387313842773,256
0.000249915049233398,0.6,227.149418592453,8,0.06332693553133073,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.016553640365600586,8
0.0003453266806550332,0.6,594.3221743106842,16,0.026730220233533997,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010962724685668945,16
0.00020870609192079296,0.8,1240.4869244098663,32,0.011891110785420711,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.01775360107421875,32
8.708059224390424e-05,1.0,3418.5249276161194,64,0.005219480329857418,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.015457630157470703,64
7.029164224784377e-05,1.0,5633.878000020981,128,0.0029505422100687406,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010850191116333008,126
5.6114981796139835e-05,0.8,9809.935066699982,256,0.0015850967335205857,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.013334512710571289,256
0.0003050015027714873,0.6,221.86804747581482,8,0.06444644271614797,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.014618635177612305,8
0.00024279772573518248,0.6,727.9084746837616,16,0.025776174630530002,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0103302001953125,16
0.0001586132933453988,0.6,787.358226776123,32,0.012039721323703678,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.015895605087280273,32
0.00010323792606644269,1.0,3794.4241449832916,64,0.004651636373073698,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.016338348388671875,64
7.018299342616883e-05,1.0,5243.225513458252,128,0.0025138953256020335,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.014935970306396484,126
6.582661307805152e-05,1.0,9324.386791467667,256,0.0016450769642202268,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.013986587524414062,256
0.000661476091478681,0.2,107.01440668106079,8,0.0662979384378995,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.01403188705444336,8
0.0002008335110715929,0.6,486.97328543663025,16,0.02461821741287834,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010582208633422852,16
0.0001454228745931654,0.6,1246.124499797821,32,0.011644907432678486,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.015545368194580078,32
0.00011946623331614162,0.8,2848.012416601181,64,0.004820336749381704,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.013178586959838867,64
6.95942056766372e-05,0.8,5146.206362962723,128,0.0033495335526558256,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.015035867691040039,126
6.245376906588013e-05,1.0,12598.917396306992,256,0.0016026310262631793,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.014800548553466797,256
