mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0009259890541135409,0.8510742187500002,259.6000642776489,8,0.059291748432162394,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010389566421508789,8
0.0007571732719356374,0.8793945312500001,370.19327044487,16,0.025276635209523723,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010281085968017578,16
0.0006434558783099886,0.894873046875,621.2733016014099,32,0.014102464276506577,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010421037673950195,32
0.0006526369445439823,0.8934082031250001,1275.2377235889435,64,0.008309416846853435,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010237693786621094,64
0.0006163153216295209,0.9002441406250001,2421.413211584091,128,0.005921441282380535,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010315179824829102,127
0.0006277033890845767,0.8962890625000001,4738.274245500565,256,0.0048832045875502605,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.009931802749633789,256
0.0009851568465001222,0.8447265625000001,253.9898886680603,8,0.06304714068402884,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010363340377807617,8
0.0007333644744620744,0.8801269531250001,365.7273440361023,16,0.02462774712154986,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010256052017211914,16
0.0006418623862965302,0.8972167968750001,635.7602779865265,32,0.012379969947199698,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010202407836914062,32
0.0006979100497051891,0.8826171875000002,1282.2702531814575,64,0.00840126255226914,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.01028299331665039,64
0.0005942940248070719,0.9033691406250001,2440.280685901642,128,0.005918986224758227,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010398387908935547,127
0.0006961888688117432,0.886669921875,4734.657072544098,256,0.005009505284316318,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.009957075119018555,256
0.0009903583837622665,0.8437988281250002,256.6664526462555,8,0.06113634868988066,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010365724563598633,8
0.0007319922137907894,0.8875976562500001,367.7477741241455,16,0.02369220209718742,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010185003280639648,16
0.0008155345893390214,0.870703125,637.4692068099976,32,0.01565136254145022,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010269403457641602,32
