mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.007674909802001438,0.681201171875,519.6629629135132,8,0.06733631421853681,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010695219039916992,8
0.005326130536943975,0.757275390625,816.7290046215057,16,0.0283410088103333,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.01067042350769043,16
0.004083932277326514,0.8018554687500001,1416.9996449947357,32,0.011559509442027993,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010785818099975586,32
0.0034733408938023313,0.831298828125,2605.7344822883606,64,0.004903324323467129,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.01081395149230957,63
0.002678854677102101,0.868359375,5025.655471801758,128,0.0026815697142689165,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.01080179214477539,127
0.0022935160585018733,0.8908203125,9866.482414960861,256,0.0016095602685181065,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.011465787887573242,256
0.008276209688765943,0.661865234375,493.41001629829407,8,0.057704597100887656,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010805845260620117,8
0.005163503965667774,0.7641601562500001,804.6821806430817,16,0.02941454669080057,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.01070857048034668,16
0.0044178891673326785,0.7930175781250001,1397.6599202156067,32,0.01201973075579793,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010843992233276367,32
0.0030356202678723607,0.8497558593750001,2606.6464598178864,64,0.005369786282348632,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010836362838745117,64
0.0027935808477258413,0.8629394531250001,4998.329363584518,128,0.002526527350737051,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.01033926010131836,127
0.0023207780315675774,0.8854980468750001,9568.974446773529,256,0.0016665667152366281,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.010510683059692383,256
0.007496730588900355,0.6842773437499999,461.771803855896,8,0.05502075252108435,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010411739349365234,8
0.006162951106653295,0.7267089843750001,745.5427742004395,16,0.02518523605426476,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.01041412353515625,16
0.004363024956488414,0.79296875,1325.0390660762787,32,0.011049744235393788,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010579824447631836,32
0.0032482546083142556,0.8429199218750001,2484.2579197883606,64,0.004951470261774393,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010461568832397461,64
0.002855712130360546,0.8630371093750001,4808.554024934769,128,0.002679899587172463,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010521650314331055,126
0.002252195219454048,0.891796875,9466.346692323685,256,0.0016874148897887964,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.009956598281860352,256
0.008187855502098681,0.654296875,464.931857585907,8,0.05690303669727931,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010460615158081055,8
0.005769677083418673,0.7378906250000001,753.4082992076874,16,0.02571504600601565,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010298967361450195,16
0.004447887537851096,0.7970214843750001,1331.8897268772125,32,0.011358421386999551,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.01059412956237793,32
0.0031258829386935963,0.847119140625,2492.1109294891357,64,0.005321855094272188,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.011675834655761719,64
0.0028583584212603344,0.8594238281250002,4827.148341178894,128,0.002819899333225795,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.01050567626953125,126
0.002297715183885521,0.8904296875000001,9493.758960723877,256,0.0016277418498866214,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.010068178176879883,256
0.006953482419705198,0.688037109375,461.3562226295471,8,0.06272878007288113,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.011876583099365234,8
