mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0041728433852589175,0.483642578125,2494.0464055538177,8,0.06733631421853681,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010319709777832031,8
0.0031893506826652287,0.5810546875,3834.770842075348,16,0.0283410088103333,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010295867919921875,16
0.0027191277620316374,0.6279785156250001,6594.388792276382,32,0.011559509442027993,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010222911834716797,32
0.002350599377187244,0.6891113281250001,11932.883953094482,64,0.004903324323467129,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.01053476333618164,63
0.0021312891478124235,0.7247558593750001,23237.716263771057,128,0.0026815697142689165,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010300874710083008,127
0.002025369936268351,0.7422363281250001,44116.63599538803,256,0.0016095602685181065,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.009991884231567383,256
0.0039265406972410054,0.49604492187500004,2397.7276904582977,8,0.057704597100887656,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010528087615966797,8
0.003181638537154162,0.559716796875,3682.3586370944977,16,0.02941454669080057,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.01020956039428711,16
0.0027857460679741822,0.6330078125,6268.06080198288,32,0.01201973075579793,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010758161544799805,32
0.0023435163213623156,0.68759765625,11449.821787118912,64,0.005369786282348632,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010315656661987305,64
0.00215293302250097,0.719873046875,21795.427344083786,128,0.002526527350737051,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010263204574584961,127
0.002028803760009103,0.74775390625,42543.50076985359,256,0.0016665667152366281,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.0098876953125,256
0.003842533153322737,0.46967773437500004,2386.796553850174,8,0.05502075252108435,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.011150121688842773,8
0.003381497481717925,0.5384765625000001,3680.962366104126,16,0.02518523605426476,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010442256927490234,16
0.0027234488200802644,0.6296875,6271.401546239853,32,0.011049744235393788,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.013804435729980469,32
0.002329340381755066,0.6971679687500001,11447.071818113327,64,0.004951470261774393,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010934591293334961,64
0.002138792866711424,0.7239257812500001,21798.042400598526,128,0.002679899587172463,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.02592182159423828,126
0.002019486758187355,0.745751953125,42513.52041697502,256,0.0016874148897887964,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.014019966125488281,256
0.004320020348223879,0.44702148437500006,2395.215343475342,8,0.05690303669727931,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010504484176635742,8
0.003203299795557166,0.5600097656249999,3692.719434261322,16,0.02571504600601565,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010118484497070312,16
0.002722459975982987,0.621142578125,6289.272871732712,32,0.011358421386999551,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.011364459991455078,32
0.0023046600073292644,0.69609375,11464.184438705444,64,0.005321855094272188,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010440587997436523,64
0.0021483881219710194,0.721923828125,21907.305119991302,128,0.002819899333225795,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010208845138549805,126
0.0020254597902638924,0.744580078125,42733.90512919426,256,0.0016277418498866214,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.011748075485229492,256
0.003977870269355125,0.462158203125,2410.6178612709045,8,0.06272878007288113,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010323286056518555,8
0.0031868680220209335,0.5626953125,3711.4185276031494,16,0.02602110681202563,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010271787643432617,16
0.002718402881431909,0.6355468750000001,6314.369013786316,32,0.012918207650126079,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.012266159057617188,32
0.0023798299333175144,0.6828125,11517.142341852188,64,0.004948064712586742,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010199308395385742,63
0.0021284846530104837,0.720263671875,21922.542073488235,128,0.0027032150563118806,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010233163833618164,127
0.0020118335169281307,0.7455078125000001,42743.81250309944,256,0.0014943547328169493,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.010788917541503906,256
0.0039761016441279525,0.48388671875,2410.6705021858215,8,0.0547445936532831,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010297536849975586,8
0.0032743998679482978,0.57138671875,3715.4961698055267,16,0.028969059015992338,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.01556253433227539,16
0.0027083193369818676,0.62021484375,6308.901827335358,32,0.011748898944961672,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0101470947265625,32
0.0023837778338853498,0.68095703125,11473.681502819061,64,0.0056767671975628264,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010150909423828125,64
0.002145530197674474,0.71640625,21882.338418245316,128,0.0027835448605187385,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.01174306869506836,127
0.002030892683503143,0.7439453125,42678.124722242355,256,0.0016363380423556895,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.02623748779296875,256
0.0038194597298371554,0.48896484375000004,2417.573529481888,8,0.05892984970789428,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.014138460159301758,8
