mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
4.290998153975833e-05,0.6,450.75733184814453,32,0.0319761078164692,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,32,0.33502817153930664,32
2.7453080361114918e-05,0.8,960.9949905872345,64,0.01927578809057484,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6736419200897217,64
1.9048399673206014e-05,1.0,1759.4395570755005,128,0.009787371808107848,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,128,1.2723917961120605,128
1.3747199718559718e-05,1.0,4434.472377300262,256,0.0048648606295566554,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,256,2.592447519302368,256
9.793230296224105e-06,1.0,7681.404468536377,512,0.0013787712012475195,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,512,5.087246417999268,512
4.252919379470322e-05,0.6,402.4167330265045,32,0.0319761078164692,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,32,0.32645273208618164,32
2.4828705468517293e-05,0.8,890.1643574237823,64,0.01927578809057484,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6632068157196045,64
1.9470960168432828e-05,1.0,2070.0229544639587,128,0.009787371808107848,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,128,1.344043493270874,128
1.3072168572652405e-05,1.0,4104.852969169617,256,0.0048648606295566554,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,256,2.5996551513671875,256
7.688685880578297e-06,1.0,7956.266862869263,512,0.0013787712012475195,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,512,5.069382905960083,512
3.999546670687133e-05,0.8,448.34589099884033,32,0.0319761078164692,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,32,0.3267819881439209,32
2.4921536427783284e-05,0.8,866.1913819313049,64,0.01927578809057484,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6333115100860596,64
1.6776547351420268e-05,1.0,2057.0690541267395,128,0.009787371808107848,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,128,1.334843635559082,128
1.592834942780523e-05,1.0,3879.2095239162445,256,0.0048648606295566554,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,256,2.518263816833496,256
1.1633576459520548e-05,1.0,7309.229605674744,512,0.0013787712012475195,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,512,5.099561452865601,512
4.003204863826787e-05,0.8,413.04767060279846,32,0.0319761078164692,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,32,0.3201131820678711,32
2.917868961025278e-05,0.8,876.0968482494354,64,0.01927578809057484,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6345381736755371,64
1.331527609758734e-05,1.0,1996.2030260562897,128,0.009787371808107848,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,128,1.2792093753814697,128
1.4768394289629443e-05,1.0,3834.949772119522,256,0.0048648606295566554,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,256,2.5316240787506104,256
1.0536420700066159e-05,1.0,7834.378265380859,512,0.0013787712012475195,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,512,4.935633897781372,512
4.2202190934112766e-05,0.8,436.6742181777954,32,0.0319761078164692,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,32,0.3240017890930176,32
3.0475441332825684e-05,0.6,861.4150443077087,64,0.01927578809057484,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6103980541229248,64
1.8909494993465475e-05,0.8,2078.752762079239,128,0.009787371808107848,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,128,1.2398204803466797,128
1.1424029096339563e-05,1.0,4066.95836853981,256,0.0048648606295566554,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,256,2.4918813705444336,256
6.495259145746425e-06,1.0,8044.6203763484955,512,0.0013787712012475195,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,512,5.156245231628418,512
4.030380840269164e-05,0.8,382.7308440208435,32,0.0319761078164692,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,32,0.32862067222595215,32
2.830500749466911e-05,0.8,897.0318021774292,64,0.01927578809057484,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6264045238494873,64
1.9046418971482366e-05,1.0,2065.2006978988647,128,0.009787371808107848,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,128,1.2439424991607666,128
1.490327848376598e-05,0.8,3783.5841608047485,256,0.0048648606295566554,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,256,2.4755845069885254,256
1.0932729285366127e-05,1.0,7485.158840894699,512,0.0013787712012475195,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,512,5.090311765670776,512
4.0830037460886796e-05,0.8,405.5106465816498,32,0.0319761078164692,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,32,0.32265472412109375,32
2.5110065549427633e-05,0.8,1009.7642662525177,64,0.01927578809057484,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6508948802947998,64
1.830598835498883e-05,0.8,1898.04008102417,128,0.009787371808107848,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,128,1.2523846626281738,128
1.4247107996143694e-05,1.0,3767.7827236652374,256,0.0048648606295566554,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,256,2.4580559730529785,256
5.958289384138269e-06,1.0,7429.241983175278,512,0.0013787712012475195,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,512,5.24400782585144,512
4.318783594221952e-05,0.6,361.1672832965851,32,0.0319761078164692,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,32,0.3256518840789795,32
2.7046141409706042e-05,0.8,1072.3115515708923,64,0.01927578809057484,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6300005912780762,64
1.884679967503022e-05,1.0,2260.9437675476074,128,0.009787371808107848,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,128,1.2738850116729736,128
1.3711621664661865e-05,1.0,4088.444931745529,256,0.0048648606295566554,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,256,2.457801580429077,256
1.0611045732431338e-05,1.0,7845.062356233597,512,0.0013787712012475195,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,512,4.918404579162598,512
4.3587202863676386e-05,0.8,359.44531536102295,32,0.0319761078164692,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,32,0.32088375091552734,32
2.4290525903241985e-05,0.8,990.9124131202698,64,0.01927578809057484,sage,permutation,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6226723194122314,64
