mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0032002143898964184,0.559716796875,6744.881645679474,32,0.0319761078164692,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.3841893672943115,32
0.0027204612349906003,0.62724609375,12308.484234809875,64,0.01927578809057484,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6514945030212402,64
0.0023728034179475764,0.679931640625,23437.181146383286,128,0.009787371808107848,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,1.5812890529632568,128
0.0021840858693901997,0.7093750000000001,46634.63579702377,256,0.0048648606295566554,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,2.8541934490203857,256
0.0020170013299130284,0.7444824218750001,91409.75627374649,512,0.0013787712012475195,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,5.514540672302246,512
0.0031970996325486477,0.5590332031249999,7073.769981384277,32,0.0319761078164692,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.335355281829834,32
0.0027266148755246307,0.627685546875,12451.517624616623,64,0.01927578809057484,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.7109041213989258,64
0.0023759044514951844,0.6761718750000001,24344.44088625908,128,0.009787371808107848,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,1.3613336086273193,128
0.0021838816051080335,0.71279296875,46204.49679160118,256,0.0048648606295566554,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,2.7404515743255615,256
0.002018718409158693,0.746435546875,91426.33565950394,512,0.0013787712012475195,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,5.294133424758911,512
0.0031996608087719227,0.55791015625,6937.367260456085,32,0.0319761078164692,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.3337435722351074,32
0.0027185234859270985,0.6292480468749999,12571.337818861008,64,0.01927578809057484,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6853184700012207,64
0.0023741666329042503,0.681640625,24672.70535302162,128,0.009787371808107848,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,1.3132507801055908,128
0.0021823207796225637,0.7110839843750001,46373.07959675789,256,0.0048648606295566554,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,2.7955539226531982,256
0.002021148174334269,0.74375,91397.50976371765,512,0.0013787712012475195,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,5.418710947036743,512
0.0031934442163203233,0.559228515625,7068.375205039978,32,0.0319761078164692,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.33995652198791504,32
0.0027205148931715188,0.627783203125,12954.56634092331,64,0.01927578809057484,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.6646120548248291,64
0.0023742895292974747,0.6755859375000001,24367.2481880188,128,0.009787371808107848,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,1.3099992275238037,128
0.0021843299353554173,0.712646484375,46261.09305858612,256,0.0048648606295566554,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,2.4832603931427,256
0.002023448492027193,0.744091796875,91805.69809699059,512,0.0013787712012475195,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,5.655959129333496,512
