mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.006474661847152598,0.9431586608442505,398.4673490524292,19,0.010719626289347639,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.00401759147644043,19
0.00585591627612322,0.9457787481804949,652.2866201400757,38,0.004240287558004652,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.008428573608398438,38
0.0053719528184602225,0.950363901018923,1272.0685007572174,76,0.0025446561404062207,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.00453495979309082,75
0.004854161752744056,0.9582969432314411,2391.5583703517914,152,0.0015508457660289854,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0042705535888671875,148
0.004878429065723942,0.9575691411935954,4789.099110126495,304,0.001589025948657563,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.003402233123779297,304
0.0068104262095785625,0.9370451237263464,377.6537938117981,19,0.009698067760414708,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.004008293151855469,19
0.00560187969533509,0.9497088791848618,647.2959723472595,38,0.004604051076300575,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.007339000701904297,38
0.005083424004202352,0.9533478893740903,1238.7423450946808,76,0.0026384465720569183,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0043239593505859375,75
0.004766543451963729,0.9589519650655021,2459.405030488968,152,0.0019134453241149707,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.004209756851196289,148
0.004510868623797754,0.9611353711790394,4787.2261662483215,304,0.0011905332023230408,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0034568309783935547,304
0.006230461802151677,0.9451965065502184,375.01557207107544,19,0.009765980445765376,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.003992319107055664,19
0.006605096596715628,0.937991266375546,640.0498914718628,38,0.006351797664121028,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.004243135452270508,38
0.005330994056840965,0.9536390101892285,1276.236983537674,76,0.0025567383198723537,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.004267454147338867,76
0.004805813169692547,0.9598981077147016,2501.3152565956116,152,0.0018625883134514298,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010258674621582031,147
0.004756141040950447,0.960334788937409,4786.141144275665,304,0.0015194865669839186,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0033957958221435547,304
0.006841340236226116,0.9397379912663754,379.0294830799103,19,0.010997799105392891,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0039691925048828125,19
0.005438489329222792,0.9529112081513827,651.4951059818268,38,0.0043038194039595745,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.004570960998535156,38
0.005029423442098388,0.9570596797671034,1292.941109418869,76,0.0023711992342091426,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.006831645965576172,76
0.005136321299213076,0.95254730713246,2401.3798356056213,152,0.0019297932191292833,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.004258155822753906,150
0.004498583055914922,0.9590975254730715,4816.777648687363,304,0.001465821922228383,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.006697654724121094,304
0.006831030949084322,0.9411208151382823,365.19913387298584,19,0.010728747477288636,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.004022359848022461,19
0.005891663013182005,0.9457059679767104,644.4423911571503,38,0.004327563746391261,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.004221439361572266,38
0.0056806795444672405,0.9502911208151381,1279.081789970398,76,0.0027747912573790057,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.004277944564819336,76
0.004837527061540234,0.9566957787481805,2475.877665042877,152,0.0015739577034681873,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.004282474517822266,149
0.0044517554330504305,0.96018922852984,4795.8208429813385,304,0.0013023220141291647,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0034253597259521484,304
0.007199098528047244,0.9363173216885007,375.0290570259094,19,0.010083389184634695,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.004066944122314453,19
0.006156294908122178,0.9450509461426492,652.8876993656158,38,0.00491463078781218,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.008396148681640625,38
