mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.13254095903949095,0.6,3.152191400527954,8,0.08578252811921533,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.011845588684082031,8
0.10012556205442896,0.6,2.9394330978393555,16,0.03649964912544623,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.01895904541015625,16
0.06904905818781168,0.6,5.481827735900879,32,0.016216127379869993,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.0375514030456543,32
0.06662607060168467,0.8,10.475365400314331,64,0.006158082878078619,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07338595390319824,64
0.047805523589909,0.8,20.361581325531006,128,0.005043838215636864,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.14465665817260742,128
0.11601398485528323,0.6,1.8428518772125244,8,0.08578252811921533,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.009835958480834961,8
0.09938027178216949,0.6,2.8989264965057373,16,0.03649964912544623,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.018653392791748047,16
0.077459964651566,0.6,5.442523002624512,32,0.016216127379869993,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03690695762634277,32
0.05356977550046746,0.6,10.469466209411621,64,0.006158082878078619,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07714033126831055,64
0.04981489550898458,0.8,20.482897758483887,128,0.005043838215636864,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.1486363410949707,128
0.11545636707217342,0.6,1.6761260032653809,8,0.08578252811921533,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.010753393173217773,8
0.10778007049699959,0.6,2.889702796936035,16,0.03649964912544623,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.019068479537963867,16
0.07077591848357113,0.6,5.498926162719727,32,0.016216127379869993,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03723955154418945,32
0.048647713700236433,0.8,10.436674118041992,64,0.006158082878078619,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07398819923400879,64
0.06378884879303992,0.8,20.285133600234985,128,0.005043838215636864,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.14867138862609863,128
0.12393358031769587,0.6,1.749260663986206,8,0.08578252811921533,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.010025262832641602,8
0.10600495470133652,0.6,2.8704943656921387,16,0.03649964912544623,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.018899917602539062,16
0.05616381972863134,0.8,5.488593578338623,32,0.016216127379869993,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03650999069213867,32
