mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.020646526495063624,0.8155021834061136,228.0286784172058,8,0.08578252811921533,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.017735004425048828,8
0.01447233410604694,0.8785298398835516,298.16748881340027,16,0.03649964912544623,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.017848730087280273,16
0.009388765986920764,0.9248908296943231,431.40587043762207,32,0.016216127379869993,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03644919395446777,32
0.006566758375128337,0.9431586608442505,787.2835836410522,64,0.006158082878078619,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06860756874084473,64
0.0064606286306985354,0.9385007278020379,1403.2631719112396,128,0.005043838215636864,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14201951026916504,128
0.020639841653240565,0.8168122270742357,213.36692547798157,8,0.08578252811921533,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010095357894897461,8
0.014463788517257192,0.8791120815138281,279.69054889678955,16,0.03649964912544623,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01791834831237793,16
0.009392945222356364,0.9239446870451238,426.6012086868286,32,0.016216127379869993,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.034898996353149414,32
0.006538964846280559,0.9410480349344978,805.136171579361,64,0.006158082878078619,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06892514228820801,64
0.006494490895092801,0.9392285298398836,1434.6777164936066,128,0.005043838215636864,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1552731990814209,128
0.02059413076281471,0.8170305676855895,221.06370425224304,8,0.08578252811921533,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010801315307617188,8
0.014544098214526674,0.880494905385735,282.4885663986206,16,0.03649964912544623,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.018705129623413086,16
0.009368487546869588,0.9245269286754004,428.75527596473694,32,0.016216127379869993,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.0341796875,32
0.006567084039126248,0.9420669577874818,808.9257254600525,64,0.006158082878078619,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07033443450927734,64
0.006503650578410397,0.9403930131004368,1448.9410667419434,128,0.005043838215636864,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.13838672637939453,128
0.020575459769001343,0.8151382823871907,221.56895446777344,8,0.08578252811921533,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009996175765991211,8
0.01453832271522893,0.8791848617176128,282.02305245399475,16,0.03649964912544623,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01766800880432129,16
0.009372909603848232,0.923216885007278,422.1550221443176,32,0.016216127379869993,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.06782913208007812,32
0.006554362741897138,0.9404657933042213,804.0557548999786,64,0.006158082878078619,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.12840557098388672,64
0.006504985093512975,0.939155749636099,1439.389145374298,128,0.005043838215636864,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.13530540466308594,128
0.020595999195387012,0.8156477438136825,219.0950472354889,8,0.08578252811921533,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009368181228637695,8
0.014537354044442051,0.8781659388646288,279.10985803604126,16,0.03649964912544623,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01771092414855957,16
0.009381498595586367,0.9243813682678311,416.68332147598267,32,0.016216127379869993,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03498387336730957,32
0.006603097109188973,0.9430131004366813,800.2649435997009,64,0.006158082878078619,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07136297225952148,64
0.006434063917396937,0.9409024745269288,1401.0159785747528,128,0.005043838215636864,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.13265275955200195,128
0.020603097257916203,0.8168122270742356,213.90164017677307,8,0.08578252811921533,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009123086929321289,8
0.014502845238318216,0.8797671033478893,275.5633897781372,16,0.03649964912544623,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.019022703170776367,16
0.009388035259853668,0.9252547307132462,410.5122923851013,32,0.016216127379869993,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03510618209838867,32
0.006560769145221275,0.940829694323144,784.4523446559906,64,0.006158082878078619,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06478643417358398,64
0.00645707173417817,0.9418486171761282,1407.2968955039978,128,0.005043838215636864,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.2829549312591553,128
0.020664744951147007,0.8162299854439592,213.18047046661377,8,0.08578252811921533,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.012775421142578125,8
0.014505179458296333,0.8831877729257642,278.73334646224976,16,0.03649964912544623,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.017880916595458984,16
0.009454696102529863,0.9229257641921397,417.39715003967285,32,0.016216127379869993,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.0335695743560791,32
0.006571172538277575,0.9426491994177586,799.949872970581,64,0.006158082878078619,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.0664215087890625,64
0.0064782687000791185,0.9402474526928676,1433.9325332641602,128,0.005043838215636864,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.20558667182922363,128
0.02057728567305786,0.8157933042212518,219.9822437763214,8,0.08578252811921533,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009221315383911133,8
0.014500756858663222,0.879985443959243,280.9107551574707,16,0.03649964912544623,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01711273193359375,16
0.009329865815212607,0.9246724890829694,422.5166084766388,32,0.016216127379869993,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.034087181091308594,32
0.006594260716196929,0.9433770014556041,802.3220353126526,64,0.006158082878078619,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07109451293945312,64
0.006495621497498947,0.9371906841339156,1433.5496644973755,128,0.005043838215636864,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.13228487968444824,128
0.02063089154290152,0.8159388646288209,221.18996000289917,8,0.08578252811921533,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.02464771270751953,8
0.014462702535820845,0.8807860262008734,280.23722314834595,16,0.03649964912544623,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.016995906829833984,16
0.009329796257062218,0.9243085880640466,418.29018926620483,32,0.016216127379869993,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03422141075134277,32
0.006550644613270038,0.941703056768559,800.7229392528534,64,0.006158082878078619,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07151675224304199,64
0.006476127816751204,0.9392285298398836,1437.2285244464874,128,0.005043838215636864,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1347653865814209,128
