mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.08325824650835627,1.0,5.897042989730835,2,0.3540319474310165,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0011444091796875,2
0.056085124065987445,1.0,6.386302709579468,4,0.11155894738775163,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0010671615600585938,4
0.04353989852513558,1.0,7.042912244796753,8,0.040723439281776797,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0010204315185546875,8
0.042917165710693,1.0,8.33769702911377,16,0.015375253391855692,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0010020732879638672,16
0.04228823995875314,1.0,10.53412413597107,32,0.02312443004351833,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0009970664978027344,30
0.038964606559114594,1.0,15.459040880203247,64,0.010886518031172243,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0008349418640136719,64
0.06850361705803518,1.0,5.87969183921814,2,0.2584720263807643,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0010263919830322266,2
0.06927796533738609,1.0,6.337650299072266,4,0.11244928739392568,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0009839534759521484,4
0.05534992572271965,1.0,6.95310640335083,8,0.05530355800975817,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0009908676147460938,8
0.03400432724227538,1.0,8.352083206176758,16,0.018846611429960025,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0009646415710449219,15
0.04534419215078929,1.0,10.627249717712402,32,0.023688853733632442,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.000993490219116211,31
0.03883194399440428,1.0,15.409087419509888,64,0.016948911367494324,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0008096694946289062,64
0.07094553948328863,1.0,6.097527503967285,2,0.39509206410768194,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0010380744934082031,2
0.05111775458686534,1.0,6.337454319000244,4,0.11995401708074638,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0011715888977050781,4
0.05032193731914706,1.0,6.954925298690796,8,0.04681905014155485,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0010323524475097656,8
0.03699260936380166,1.0,8.320040941238403,16,0.02400467352190122,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0010156631469726562,16
0.034643296882613375,1.0,10.616077899932861,32,0.012472574451145524,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0009853839874267578,30
0.043283963589942805,1.0,15.43898892402649,64,0.012399642026368007,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0008406639099121094,64
0.07637412384661109,1.0,6.091029405593872,2,0.25718674451869306,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0010645389556884766,2
0.06922992549390088,1.0,6.238744258880615,4,0.10835009347068025,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.001007080078125,4
0.049588376225912195,1.0,6.949561834335327,8,0.0640607771190439,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.001024007797241211,8
0.04551272947237282,1.0,8.385336637496948,16,0.035420843003867664,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0009748935699462891,16
0.03811244292837346,1.0,10.507385730743408,32,0.020118524597299015,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0010001659393310547,32
0.04009813475573986,1.0,15.495212316513062,64,0.00772975431713302,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0008122920989990234,64
0.06741867567808835,1.0,5.973845720291138,2,0.2860302423757003,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0009860992431640625,2
0.038983337808417354,1.0,6.179236650466919,4,0.11190654460918448,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0009644031524658203,4
0.05681927372704242,1.0,6.641327619552612,8,0.0404163061609204,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.001024007797241211,8
0.0434443833275648,1.0,7.814598321914673,16,0.02110428812470566,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.00095367431640625,16
0.04138055762959556,1.0,10.014223098754883,32,0.025768043326403478,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0009224414825439453,30
0.03947845318510029,1.0,14.473046779632568,64,0.010558449446343876,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0007557868957519531,64
0.06224562063426347,1.0,5.765826225280762,2,0.21265664776777227,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0009627342224121094,2
0.07121570526856259,1.0,6.074847459793091,4,0.12430986586719484,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0009672641754150391,4
0.05253411221619468,1.0,6.728935956954956,8,0.047343909850017574,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0009746551513671875,8
0.046160281490461565,1.0,8.136613368988037,16,0.022554707811056618,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0009462833404541016,16
0.03890953307192694,1.0,10.868851661682129,32,0.011758943195180949,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.001027822494506836,31
0.04188381599351567,1.0,15.570599555969238,64,0.007741769776951624,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0008525848388671875,64
0.06539137679678222,1.0,6.056390285491943,2,0.22733061349300265,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0010135173797607422,2
0.056001788215034154,1.0,6.383364915847778,4,0.11528482275100016,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0009884834289550781,4
0.054613281410440855,1.0,6.7817158699035645,8,0.04349245503268717,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0010151863098144531,8
0.04212866281391771,1.0,8.294290781021118,16,0.024706167568929294,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0010294914245605469,16
0.03805187892647278,1.0,10.750101566314697,32,0.01759335570942222,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0009899139404296875,32
0.034866287107742054,1.0,15.142679452896118,64,0.013106924550597532,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0008008480072021484,64
0.06621152877599873,1.0,5.9874348640441895,2,0.23192882595425968,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.001008749008178711,2
0.05020858703139147,1.0,6.423696279525757,4,0.07831948928421484,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0010285377502441406,4
0.045027935702894525,1.0,6.892940044403076,8,0.04662084087220597,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0010073184967041016,8
0.049095128254756266,1.0,8.370269536972046,16,0.02407301737978529,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0010364055633544922,16
0.04510338253180896,1.0,10.63961911201477,32,0.021195021936925296,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0010552406311035156,30
0.036135971267778066,1.0,15.305859804153442,64,0.01157797726423676,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0008127689361572266,64
0.0751054028555301,1.0,6.032567977905273,2,0.28501580592239484,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0010340213775634766,2
0.05434428666947684,1.0,6.358899354934692,4,0.10742871146831035,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0010454654693603516,4
0.052414563158539394,1.0,7.120198011398315,8,0.032668247769602976,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.000990152359008789,8
0.04410486323365632,1.0,8.353939533233643,16,0.02438853620562287,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0010161399841308594,16
0.04526413688199661,1.0,10.427631616592407,32,0.020794222823750874,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0010190010070800781,30
0.043187712644470244,1.0,15.576871633529663,64,0.012064444965152299,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0008082389831542969,64
0.063274213034853,1.0,5.970696210861206,2,0.2208281692746592,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0010628700256347656,2
0.04562921578114696,1.0,6.027971267700195,4,0.0864988763115454,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0010097026824951172,4
0.05441266584458797,1.0,6.929082870483398,8,0.04529559683803008,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0009448528289794922,8
0.0441277699225653,1.0,8.274320602416992,16,0.01679563460541894,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.001010894775390625,16
0.04159429525538687,1.0,10.789157390594482,32,0.017130291565370714,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0009930133819580078,32
0.03699494872901706,1.0,15.702027082443237,64,0.015838604669584755,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0007691383361816406,64
