mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.011963917747600243,1.0,15.024863481521606,8,0.09859677956987511,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.0031032562255859375,8
0.01704532716740504,1.0,7.583820343017578,16,0.05892619215183226,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.005633354187011719,16
0.005078249789059744,1.0,8.862847089767456,32,0.030049792706230094,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.009132623672485352,32
0.001718846933698137,1.0,16.40042233467102,64,0.01854176292964327,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.017275571823120117,64
0.0032335617902215104,1.0,37.3119113445282,128,0.011455336693196205,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.034746408462524414,128
0.011489894920391309,1.0,13.738033771514893,8,0.09859677956987511,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.003068208694458008,8
0.017996811218582986,1.0,7.639819383621216,16,0.05892619215183226,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.0050220489501953125,16
0.0055522981285470886,1.0,9.077708721160889,32,0.030049792706230094,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.009021520614624023,32
0.0026238110797401223,1.0,17.759324550628662,64,0.01854176292964327,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.017261981964111328,64
0.003882870104923711,1.0,36.228700160980225,128,0.011455336693196205,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.034215688705444336,128
0.012296942213957196,1.0,13.056194305419922,8,0.09859677956987511,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.002825021743774414,8
0.017033504605910948,1.0,9.142030239105225,16,0.05892619215183226,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.005234718322753906,16
0.0055592036569598975,1.0,8.470647096633911,32,0.030049792706230094,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.010357856750488281,32
0.0018433928918662607,1.0,17.108778715133667,64,0.01854176292964327,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.017301082611083984,64
0.0033221983824783183,1.0,28.50012445449829,128,0.011455336693196205,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.10738062858581543,128
0.010973149692628484,1.0,12.870503902435303,8,0.09859677956987511,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.006642818450927734,8
0.018344270810888665,1.0,6.592686891555786,16,0.05892619215183226,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.009000778198242188,16
0.0055693994629252746,1.0,8.888547420501709,32,0.030049792706230094,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.008866071701049805,32
0.0013930050458568987,1.0,15.847346782684326,64,0.01854176292964327,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.01778125762939453,64
0.004163850952616679,1.0,34.602397441864014,128,0.011455336693196205,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.034204721450805664,128
0.011470419246058038,1.0,14.611253023147583,8,0.09859677956987511,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.002901315689086914,8
0.01711953017800697,1.0,7.771889686584473,16,0.05892619215183226,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.005292415618896484,16
0.005659780069984228,1.0,8.873801469802856,32,0.030049792706230094,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.008983850479125977,32
0.001993440556178466,1.0,16.295736074447632,64,0.01854176292964327,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.05402874946594238,64
0.0040824651850706,1.0,34.12440586090088,128,0.011455336693196205,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.03482460975646973,128
0.011396716884251671,1.0,13.972295761108398,8,0.09859677956987511,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.0030705928802490234,8
0.017664250425269683,1.0,7.469798564910889,16,0.05892619215183226,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.004850149154663086,16
0.004312958997465819,1.0,8.604658365249634,32,0.030049792706230094,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.008937835693359375,32
0.002383607784684627,1.0,15.269402742385864,64,0.01854176292964327,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.017614126205444336,64
0.0035663050127675315,1.0,31.787908792495728,128,0.011455336693196205,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.0327754020690918,128
0.01136060479725887,1.0,13.52120065689087,8,0.09859677956987511,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.010002374649047852,8
0.017157887254273065,1.0,7.75040602684021,16,0.05892619215183226,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.004886150360107422,16
0.0051685279653204685,1.0,8.2589750289917,32,0.030049792706230094,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.009148597717285156,32
0.0017051224388385717,1.0,18.180733919143677,64,0.01854176292964327,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.01756429672241211,64
0.0040157060576640705,1.0,33.54535913467407,128,0.011455336693196205,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.03394007682800293,128
0.012003883592875169,1.0,13.542163372039795,8,0.09859677956987511,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.0028007030487060547,8
0.01730909773450553,1.0,9.093119382858276,16,0.05892619215183226,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.004941463470458984,16
0.0055723687274170375,1.0,10.97779631614685,32,0.030049792706230094,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.00911402702331543,32
0.0021542551178392643,1.0,16.45399236679077,64,0.01854176292964327,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.03997159004211426,64
0.003723039638756205,1.0,34.61220979690552,128,0.011455336693196205,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.05884361267089844,128
0.011957258972026829,1.0,13.09721040725708,8,0.09859677956987511,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.0033266544342041016,8
0.017924921892705142,1.0,8.048088788986206,16,0.05892619215183226,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.004901409149169922,16
0.005349548108264078,1.0,9.801351547241211,32,0.030049792706230094,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.01987433433532715,32
0.001915040421971792,1.0,16.41379189491272,64,0.01854176292964327,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.0648798942565918,64
0.003760245780981661,1.0,35.27046775817871,128,0.011455336693196205,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.03838467597961426,128
0.012191589799953021,1.0,13.087394714355469,8,0.09859677956987511,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.0027451515197753906,8
0.017377707299227697,1.0,8.358187198638916,16,0.05892619215183226,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.005090475082397461,16
0.005556495383644826,1.0,10.544073104858398,32,0.030049792706230094,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.009071588516235352,32
0.001987761499855763,1.0,26.444931030273438,64,0.01854176292964327,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.017350196838378906,64
0.0035012705580332744,1.0,37.480393171310425,128,0.011455336693196205,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.035994529724121094,128
