mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.03433323121989738,1.0,5.532167911529541,8,0.09859677956987511,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.003360271453857422,8
0.03271358039490838,1.0,5.319820404052734,16,0.05892619215183226,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.005026102066040039,16
0.01790324450564768,1.0,5.879623651504517,32,0.030049792706230094,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008964061737060547,32
0.01283385924586668,1.0,7.068612337112427,64,0.01854176292964327,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.017116785049438477,64
0.011428325253267356,1.0,8.930967330932617,128,0.011455336693196205,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.07555484771728516,128
0.03433323121989738,1.0,5.140639066696167,8,0.09859677956987511,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0028035640716552734,8
0.03271358039490838,1.0,5.453411817550659,16,0.05892619215183226,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004785060882568359,16
0.01790324450564768,1.0,5.814175605773926,32,0.030049792706230094,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008933067321777344,32
0.01283385924586668,1.0,6.848891019821167,64,0.01854176292964327,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.017208099365234375,64
0.011428325253267356,1.0,9.236635446548462,128,0.011455336693196205,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03370213508605957,128
0.03433323121989738,1.0,5.0095508098602295,8,0.09859677956987511,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002774477005004883,8
0.03271358039490838,1.0,5.3561577796936035,16,0.05892619215183226,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004919767379760742,16
0.01790324450564768,1.0,5.979571342468262,32,0.030049792706230094,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.009011030197143555,32
0.01283385924586668,1.0,6.973231792449951,64,0.01854176292964327,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.01699376106262207,64
0.011428325253267356,1.0,8.90188717842102,128,0.011455336693196205,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.0334012508392334,128
0.03433323121989738,1.0,5.04354453086853,8,0.09859677956987511,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002843618392944336,8
