mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.1021460827119613,0.8687500000000001,62.40446329116821,16,0.032329204982693316,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,124.72745180130005,1
0.04895397997817595,0.8993164062500001,125.39117407798767,32,0.013835105178355622,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,125.4744942188263,1
0.09299223823271834,0.864599609375,239.5179009437561,64,0.02860183503465752,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,198.50966596603394,1
0.04320795574316481,0.9157714843750001,461.3655710220337,128,0.003961731350749509,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,124.59681177139282,1
0.038711180194394276,0.930126953125,1045.4556894302368,256,0.0018924742228240143,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,125.95811247825623,1
0.16147928571757753,0.84248046875,63.26673245429993,16,0.07707083000536374,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,162.67153215408325,1
0.047806002625865096,0.9198242187500001,114.15219736099243,32,0.014673611468835057,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,161.59648776054382,1
0.059068061894082105,0.8838867187500001,225.40253901481628,64,0.008259922329700742,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,163.36535048484802,1
0.021124234940863174,0.953564453125,455.2342474460602,128,0.002826870486732469,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,199.12738394737244,1
0.031675544663421526,0.9431640625000002,1031.0982677936554,256,0.001719333533719003,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,126.62299013137817,1
0.11043225463487152,0.8673828125,64.83432221412659,16,0.028456949645350837,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,125.4003324508667,1
0.1295614607724071,0.8462890625000001,112.77901554107666,32,0.018453203349886427,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,162.5192105770111,1
0.06365408724721053,0.88916015625,228.32122540473938,64,0.004735946662478119,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,125.84350419044495,1
