mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.011223694746249301,0.59365234375,3027.397145986557,16,0.06347410289108002,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,292.610604763031,1
0.008311212803752995,0.733251953125,4426.273440122604,32,0.02426405832111128,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,424.7311375141144,1
0.006336450937743302,0.80380859375,7770.630694389343,64,0.011569828410272431,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,226.88198494911194,1
0.005708935764620359,0.8359863281250001,14396.345050811768,128,0.008831847149738004,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,292.7640063762665,1
0.005058247310003281,0.8663574218750001,27749.40474009514,256,0.0033551786052142263,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,489.88096618652344,1
0.010142333994017323,0.682177734375,2919.504131793976,16,0.04983108699770755,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,358.11927580833435,1
0.008293141216319848,0.743115234375,4486.020913362503,32,0.02765203491238727,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,291.82177901268005,1
0.0065438508262366055,0.8042480468750001,7830.564080715179,64,0.013854729946849276,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,292.7792613506317,1
0.006382915737805413,0.803662109375,14519.300959587097,128,0.010550886520069358,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,292.8001437187195,1
0.005191437766537731,0.854931640625,27492.336309432983,256,0.004332531745603552,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,358.6643888950348,1
0.011626070711958002,0.608935546875,2849.87863445282,16,0.05696440296035038,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,227.33496856689453,1
0.009510353195521978,0.690283203125,4613.191827535629,32,0.030817600781461618,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,358.04143261909485,1
0.007704186163896525,0.7287109375,7918.055117368698,64,0.01937660252222312,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,357.0394060611725,1
0.005415930775667865,0.8597167968750001,14502.65613746643,128,0.006832601447915365,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,556.8109066486359,1
0.005075602358480013,0.8670410156250001,27531.55645132065,256,0.003625577321870299,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,357.00105333328247,1
0.010936466860521537,0.63466796875,2866.591220855713,16,0.06030705865375913,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,294.34929394721985,1
0.009861946636993945,0.6593261718750001,4490.411801815033,32,0.033182352938270376,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,295.45190834999084,1
0.0068227144687898625,0.770849609375,7968.726524353027,64,0.012740990158633725,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,356.37988352775574,1
0.005499721512350043,0.8516601562500001,14633.931493282318,128,0.005715577212558776,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,291.2425127029419,1
0.005051451303139617,0.86103515625,27627.21344089508,256,0.004161865727904834,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,358.73283195495605,1
0.010469567452479654,0.7072265625,2969.937661409378,16,0.04618623061012822,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,358.94237089157104,1
0.007917753624998223,0.746337890625,4590.783110141754,32,0.019919929289948735,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,227.43166613578796,1
0.007007132172436108,0.7508789062500001,7849.8476457595825,64,0.011514881062009874,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,292.91323828697205,1
0.005665789926250759,0.83154296875,14551.08525633812,128,0.006730028920532982,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,357.2797100543976,1
0.005187525179964772,0.8630859375000001,28525.455765247345,256,0.004003599100293076,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,490.23137760162354,1
0.011103766555137912,0.637060546875,2910.157973766327,16,0.05563902576122426,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,423.549928188324,1
0.008187872971268268,0.738037109375,4547.812872648239,32,0.022542743453206393,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,227.94491267204285,1
0.006398920094369169,0.80625,8083.371421813965,64,0.009869827429507483,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,425.20073413848877,1
0.005952511333752224,0.8234375,14815.881871938705,128,0.00887339949544963,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,228.18959641456604,1
0.005015186507532985,0.8634765625,27683.75933289528,256,0.003815219370443046,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,291.91810631752014,1
0.012878355163355903,0.5654296875,2863.5854058265686,16,0.06612047158865497,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,226.98892426490784,1
0.008270440621356127,0.743896484375,4543.713309049606,32,0.03098307196150296,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,295.89732551574707,1
0.007021973893308382,0.785595703125,7891.687479972839,64,0.014847822329669746,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,294.7093141078949,1
0.005555843882300903,0.8459960937500001,14811.559064626694,128,0.005909520750765063,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,294.7445869445801,1
0.004925454951957605,0.8630859375000002,27860.98323726654,256,0.003707468563092786,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,359.11051845550537,1
0.010914510581259447,0.633740234375,2942.0336554050446,16,0.05180251375959155,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,293.63307452201843,1
0.007804628506114655,0.7398437500000001,4607.381251811981,32,0.02500079829223234,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,292.3893013000488,1
0.007122405226528574,0.76865234375,8103.340003967285,64,0.015992165361839505,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,359.61881041526794,1
0.005721592126986696,0.8348144531250001,14518.212524414062,128,0.0064156849001617,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,357.72687697410583,1
0.005206484278659521,0.861083984375,27668.558133125305,256,0.004890569035913894,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,227.68586111068726,1
0.013311837916800498,0.580712890625,3022.370580434799,16,0.06545231024070941,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,361.74047350883484,1
0.008945189975777073,0.701708984375,4600.408020019531,32,0.03382243018278924,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,295.8344340324402,1
0.006739349836664135,0.772900390625,8110.961601257324,64,0.01135100584241161,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,228.3155505657196,1
0.006444380107981021,0.7875000000000001,14895.800875663757,128,0.012128076992089565,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,294.95534658432007,1
0.005120802077901904,0.8598632812500001,28344.171000003815,256,0.004107150831712036,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,291.4230637550354,1
0.01083092972673838,0.6296875,3023.82750248909,16,0.052937921648078645,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,359.3366618156433,1
0.009037419331461643,0.6922363281250001,4658.434135437012,32,0.03553980449928584,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,296.91937947273254,1
0.007625033667568527,0.7337890625000001,8063.6857578754425,64,0.01784329775508825,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,359.6708872318268,1
0.005634343355989284,0.8328125000000001,14867.532772064209,128,0.006528573442557972,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,227.92913508415222,1
