mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.10860612243413925,0.7995024875621891,52.080902338027954,8,0.04294271909720171,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,8,69.68419289588928,8
0.0805208832025528,0.8764925373134329,78.4035701751709,16,0.026312004392556543,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,16,60.96326184272766,16
0.061542343348264694,0.8966417910447763,139.63198041915894,32,0.021434633630719513,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,32,61.502920627593994,32
0.09760212898254395,0.87363184079602,225.71866846084595,64,0.014361646537616957,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,64,60.501254081726074,64
0.056976959109306335,0.9165422885572141,420.3008074760437,128,0.008462014782079419,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,128,58.93174195289612,128
0.11255820095539093,0.8368159203980099,46.24379515647888,8,0.06938104017338187,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,8,59.293190717697144,8
0.10469643026590347,0.8415422885572139,79.83675265312195,16,0.03643976677648775,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,16,61.89122557640076,16
0.08540519326925278,0.8682835820895524,140.71981620788574,32,0.017585071218972015,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,32,59.81216239929199,32
0.01797415502369404,0.9660447761194031,227.4216058254242,64,0.00590653032850208,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,64,63.72242498397827,64
0.03238677233457565,0.9457711442786071,418.93490862846375,128,0.003303579813500379,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,128,67.03971910476685,128
0.09850037842988968,0.8205223880597016,46.49118781089783,8,0.056302690143951284,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,8,66.61798191070557,8
0.09077191352844238,0.8446517412935324,79.92835521697998,16,0.04913076759882007,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,16,61.86100196838379,16
0.08810175955295563,0.8498756218905472,142.2996301651001,32,0.02593992343533358,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,32,60.98661136627197,32
0.048104509711265564,0.9165422885572141,226.53840923309326,64,0.010399849182068377,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,64,65.18915367126465,64
0.02715616300702095,0.9587064676616914,418.1835792064667,128,0.003270313802699265,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,128,59.91408443450928,128
0.1321762502193451,0.8009950248756219,47.84565496444702,8,0.11818490869177756,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,8,60.73711562156677,8
0.12613648176193237,0.8261194029850747,80.10451102256775,16,0.04966867004590736,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,16,73.13248825073242,16
0.060718435794115067,0.8927860696517412,144.0138337612152,32,0.017458672065342462,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,32,59.86773896217346,32
0.05299179628491402,0.9059701492537314,228.99314284324646,64,0.00930596661662364,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,64,67.12825775146484,64
0.02618446573615074,0.9445273631840797,422.8624053001404,128,0.005315162172855437,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,128,68.75546073913574,128
0.2027151733636856,0.6527363184079601,49.58356714248657,8,0.09448874307432265,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,8,60.08796525001526,8
0.12821529805660248,0.8218905472636817,81.7333996295929,16,0.04660212757486226,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,16,62.88984274864197,16
0.09320498257875443,0.8477611940298506,144.47601056098938,32,0.04276800183582252,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,32,75.2391505241394,32
0.11782959848642349,0.8437810945273633,228.609445810318,64,0.027099902867931402,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,64,60.64184236526489,64
0.040184386074543,0.9211442786069652,417.739563703537,128,0.005829548463783141,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,128,60.965001344680786,128
0.10555968433618546,0.8009950248756219,50.05155634880066,8,0.0440394502164112,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,8,61.57252645492554,8
0.13850940763950348,0.8118159203980099,83.82627582550049,16,0.048919394815511885,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,16,64.68135809898376,16
0.052297551184892654,0.9057213930348259,146.1880030632019,32,0.01361025196673804,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,32,69.55312442779541,32
0.07309236377477646,0.8845771144278608,233.30994486808777,64,0.011291187497703858,expected_gradients,na,influence,none,Not needed,Not needed,Not needed,64,61.540926456451416,64
