mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.01324795581690998,0.6942382812500001,4168.3891632556915,32,0.02740694285766021,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,278.67141246795654,1
0.010290320263438006,0.7394042968750001,7248.488653182983,64,0.010332799172441898,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,149.3532750606537,1
0.007877757023052453,0.8177246093750001,13433.172288179398,128,0.005634408129861823,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,147.6056833267212,1
0.006492454838093335,0.8660644531250001,25833.823548078537,256,0.0028004844432155673,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,212.62806224822998,1
0.0065232166211423165,0.87470703125,50677.963842868805,512,0.0030823644339496026,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,144.35022020339966,1
0.010534493927634475,0.7762207031250001,4163.479981660843,32,0.015394093441008505,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,146.0039598941803,1
0.007799896360933924,0.8257324218750001,7229.39936375618,64,0.007889276202410422,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,275.6306223869324,1
0.009319611129990453,0.7586425781250001,13532.1404774189,128,0.010455758861782738,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,146.47222900390625,1
0.0070535781649216775,0.8712890625,25716.40670156479,256,0.0032474707158179905,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,146.1582169532776,1
0.006670303659461877,0.8768554687500001,50597.476393938065,512,0.0025709088217243936,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,145.48713445663452,1
0.01463100790480957,0.73017578125,4221.562516212463,32,0.020693983404007965,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,274.1408655643463,1
0.01099971602645466,0.7767089843750001,7349.041972160339,64,0.013892301766458393,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,209.8949375152588,1
0.007678894786584615,0.8036132812500001,13678.636558055878,128,0.005426412274282089,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,211.44888520240784,1
0.007351256476505019,0.8359375,26503.466867685318,256,0.003203698545790945,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,147.3650839328766,1
0.006822353705999468,0.8717285156250001,51955.079718112946,512,0.0019026638000503304,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,145.57059144973755,1
0.009535391152371397,0.7942871093750001,4239.9232585430145,32,0.013970493691454422,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,148.6804392337799,1
0.0130077378266891,0.7371582031250001,7512.914546251297,64,0.009851609031766406,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,278.0177073478699,1
0.008929602182713152,0.79833984375,13978.506147146225,128,0.007188906641381276,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,147.42121362686157,1
0.006806327015547478,0.85107421875,26281.699454307556,256,0.003671968834220829,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,211.47987127304077,1
0.006125600669022268,0.89501953125,50389.36840248108,512,0.0018252240885189286,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,147.2408549785614,1
0.01680554439921771,0.687744140625,4113.46333694458,32,0.030787006578600673,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,278.74313855171204,1
0.009722218555319984,0.7721191406250001,7259.379536151886,64,0.008909066623078776,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,147.93872737884521,1
0.007862005602473115,0.8283203125,13707.43095088005,128,0.0052102395979690685,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,273.3086075782776,1
0.006379864601880527,0.873291015625,26435.4072701931,256,0.002917180588947299,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,276.5689730644226,1
0.006978920108953351,0.8590332031250001,51849.91271209717,512,0.0017405639536212103,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,147.8852343559265,1
0.02374807141170132,0.569580078125,4199.138158798218,32,0.029574809798349644,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,209.96800923347473,1
0.010736420074677695,0.8062988281250001,7480.056579113007,64,0.012661211745237488,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,275.83433961868286,1
0.009232005002434788,0.78916015625,13665.285311698914,128,0.006153800565450673,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,278.7907061576843,1
0.006852988758804009,0.859619140625,26328.163877487183,256,0.0037937123472080447,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,215.36098861694336,1
