mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0360829150737097,0.5814941406249999,4198.930084705353,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.3665893077850342,32
0.024440488057711915,0.65625,7376.765905857086,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.3734164237976074,64
0.018062655554594933,0.710009765625,13590.492754459381,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.7644414901733398,128
0.014917904675579895,0.741015625,26247.935420513153,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.6225574016571045,256
0.013081972258580347,0.7728027343750001,50617.344280958176,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,2.951836347579956,511
0.03606203101839051,0.58056640625,4171.386091470718,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.2820560932159424,32
0.024437897268841224,0.655224609375,7395.965650558472,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.36122703552246094,64
0.018044121421822025,0.709765625,13545.453031539917,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.7865402698516846,128
0.014903240345197641,0.742236328125,26036.758687257767,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.537383794784546,256
0.013085579390703045,0.77021484375,51101.73532629013,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,3.022425413131714,511
0.03606367088154999,0.58203125,4180.427529811859,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.26316308975219727,32
0.02440326057782103,0.6558593749999999,7400.621702194214,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.36354732513427734,64
0.01804387375551901,0.7090332031250001,13579.858996391296,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.8671379089355469,128
0.014926235811083124,0.7394042968750001,26038.162247657776,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.4586963653564453,256
0.013080164731666902,0.7717773437500001,50971.192917108536,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,2.8809995651245117,511
0.03603706871148519,0.58076171875,4166.693596124649,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.371232271194458,32
0.024438465208973553,0.6573242187500001,7422.568914175034,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.37645483016967773,64
0.018066210672094997,0.7093750000000001,13719.304282665253,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.7466320991516113,128
0.014911114133907366,0.7401367187500001,26025.09595131874,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.4635956287384033,256
0.013088336859227204,0.77265625,50799.09111380577,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,2.960869789123535,511
0.03607311840106263,0.5813964843749999,4169.15353679657,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.2572305202484131,32
0.024455601059010908,0.656640625,7329.969164848328,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.36468982696533203,64
0.018060252807951108,0.709326171875,13511.996827602386,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.8091957569122314,128
0.014913643883496327,0.741015625,25937.60086131096,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.4512484073638916,256
0.013066757620292769,0.77216796875,51155.99421787262,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,3.042445182800293,511
0.03607825913306915,0.58125,4216.491168022156,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.18925762176513672,32
0.02442587696872349,0.655810546875,7418.0967173576355,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.3825995922088623,64
0.018041863201108163,0.7078613281250001,13670.496802568436,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.7241387367248535,128
0.014893958201523652,0.739453125,25866.666992664337,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.4506018161773682,256
0.01309711618260623,0.77216796875,50568.701261758804,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,2.8662846088409424,511
0.0360914109968061,0.581689453125,4136.46085190773,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.3110353946685791,32
0.02443718197147778,0.655126953125,7281.0928790569305,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.3835184574127197,64
0.01806043116471923,0.70673828125,13528.734626054764,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.7264461517333984,128
0.014893647029736156,0.741162109375,25904.58903336525,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.4527614116668701,256
