mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.019290497778988898,0.638720703125,5948.353192567825,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.3522911071777344,32
0.01288765937572924,0.7111328125,10780.413281440735,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.4326021671295166,64
0.0092034681442713,0.744873046875,20502.290930986404,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.8341937065124512,128
0.007345117194302786,0.7900390625,39952.81962299347,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.6627919673919678,256
0.006391473335620234,0.8141113281250001,78554.97575902939,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,3.1485066413879395,511
0.019288551050815728,0.63935546875,5906.508523225784,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.1950385570526123,32
0.012883119073477826,0.71044921875,10749.031554937363,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.3745756149291992,64
0.00920911330836665,0.74443359375,20457.764096975327,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.8113539218902588,128
0.007339409327911319,0.78955078125,39781.99045300484,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.633502721786499,256
0.006403103249117513,0.8138183593750001,78706.94716286659,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,3.103365898132324,511
0.019286649095280824,0.640625,5919.368075609207,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.19491124153137207,32
0.012878297100763138,0.709716796875,10794.093102693558,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.4657566547393799,64
0.009202737492490103,0.74384765625,20441.436909914017,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.7796788215637207,128
0.007347135970185066,0.7891113281250001,39749.40833759308,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.5780270099639893,256
0.006389872923197321,0.81201171875,78436.79965090752,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,3.0648720264434814,511
0.019285805447933253,0.640673828125,5887.988106966019,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.1880488395690918,32
0.012871294464332168,0.709423828125,10733.39316534996,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.37099742889404297,64
0.009198462138776682,0.745361328125,20608.605565071106,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.7441942691802979,128
0.007341453414347099,0.79052734375,40166.159429073334,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.5738630294799805,256
0.006399045368647982,0.812744140625,78464.6558573246,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,3.0673818588256836,511
0.019300119310489736,0.640380859375,5880.834646940231,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.1945507526397705,32
0.012880250819491155,0.7086425781250001,10729.679010152817,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.46279120445251465,64
0.009213587839769957,0.7453124999999999,20390.141504764557,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.7666380405426025,128
0.0073433230293405575,0.7892089843750001,39821.79833865166,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.6962065696716309,256
0.006391031434335724,0.8129882812500001,78414.99684023857,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,3.3527066707611084,511
0.01929663996417433,0.639306640625,5861.289157867432,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.1891155242919922,32
0.012871831258104167,0.7096191406250001,10705.935182094574,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.3910975456237793,64
0.009194698397693392,0.7454589843750001,20445.61740231514,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.7658131122589111,128
0.007341366273626006,0.790380859375,39853.50547647476,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.499589204788208,256
0.006399193205957257,0.81298828125,78637.24415493011,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,3.0638427734375,511
0.019293760929637308,0.64013671875,5891.4962384700775,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.20021939277648926,32
0.012876948310742023,0.710205078125,10732.71216583252,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.38082289695739746,64
0.00920251230427518,0.74560546875,20420.910926818848,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.7991619110107422,128
0.007343575824517161,0.7906738281250001,39821.104214668274,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.602672815322876,256
0.006394388413302754,0.81416015625,78566.76231622696,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,3.158389091491699,511
0.019290623218880344,0.640478515625,5898.428998470306,32,0.131080730553995,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.44359779357910156,32
0.012885282109791148,0.7099609375,10753.216012477875,64,0.06445838913602864,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.3717074394226074,64
0.009202637265568357,0.7447265625000001,20479.14071202278,128,0.03304138664252454,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.9004378318786621,128
0.007343917688820941,0.7892089843750001,39892.284628391266,256,0.02526718448255333,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,1.579798936843872,256
0.006388721625709348,0.8142578125000001,78660.09539461136,512,0.02282952220353457,shapiq,kernel,stein_thinning,none,Not needed,Not needed,Not needed,512,3.24221134185791,511
