mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0017758897488075833,0.6631964809384163,842.7858650684357,6,0.11152021778944965,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0018031597137451172,6
0.00133978975560448,0.6545454545454545,1228.8694598674774,12,0.041228050576734454,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0018923282623291016,12
0.001228245201241189,0.7086510263929618,1996.6799592971802,24,0.020691359808178877,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0019261837005615234,24
0.0012182625449483492,0.6868035190615835,3523.406387090683,48,0.014577204307713199,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.00565791130065918,48
0.0011595709216086743,0.7224340175953079,6705.618608951569,96,0.008643381260212468,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0015149116516113281,96
0.002277726339775487,0.599266862170088,841.6220469474792,6,0.12490009034152894,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0023131370544433594,6
0.0013038074617832496,0.6498533724340175,1225.360046863556,12,0.0469090997339045,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.001909017562866211,12
0.0013134930214734977,0.6766862170087976,2001.498975276947,24,0.02299752221763318,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0018901824951171875,24
0.0012429361926623353,0.7052785923753665,3565.983114004135,48,0.015058986347172287,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0018208026885986328,47
0.001156440802484005,0.7118768328445746,6631.717308759689,96,0.009819646691849593,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.004483938217163086,96
0.0015249216088701405,0.6539589442815249,830.2903134822845,6,0.0787550497848224,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0018126964569091797,6
0.0014142459316791266,0.6696480938416421,1225.6131010055542,12,0.03747669737585607,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0018875598907470703,12
0.001263648958413153,0.6766862170087976,1990.2875807285309,24,0.02329051570205115,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.00186920166015625,24
0.0012197432540529227,0.7288856304985336,3563.027892589569,48,0.01214737461051174,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0018856525421142578,48
0.0011569235539091065,0.7231671554252198,6713.769295930862,96,0.008823801478575255,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0015778541564941406,96
0.0017866026808123752,0.6653958944281524,840.5461072921753,6,0.11137487822102676,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0017933845520019531,6
