mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.006642762436639835,0.40249266862170086,667.8672218322754,8,0.10582436138730322,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,45.50607085227966,1
0.005471033559756322,0.45293255131964805,959.439347743988,16,0.05137004849650323,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,55.38674187660217,1
0.004816399859573012,0.5133431085043989,1529.852886915207,32,0.023172280404443024,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,36.12417554855347,1
0.004274492883180293,0.5985337243401759,2635.111884832382,64,0.013584473571692957,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,45.46953725814819,1
0.004026121428497637,0.5910557184750732,4881.880501031876,128,0.009309737504179683,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,45.97360324859619,1
0.006526849577478439,0.33284457478005863,667.6252355575562,8,0.09564577930698309,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,36.32135796546936,1
0.005667631576461692,0.4038123167155426,949.2679269313812,16,0.04222483562225732,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,36.01850175857544,1
0.004710850224185898,0.5057184750733138,1519.0508980751038,32,0.025003226651564958,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,36.18908929824829,1
0.004277552464572479,0.5612903225806452,2626.6589555740356,64,0.013742171556707206,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,45.04539179801941,1
0.004098035773235142,0.6048387096774194,4888.57062959671,128,0.008997084934528776,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,45.77918004989624,1
0.006992463395547417,0.31627565982404693,667.684088230133,8,0.13086837071779944,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,35.83680176734924,1
0.005514375859292903,0.42404692082111445,945.6394219398499,16,0.04811692302184428,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,45.696648836135864,1
0.0048417087765436784,0.47580645161290325,1511.812501192093,32,0.03150843010732168,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,64.75322604179382,1
0.00432117262506323,0.5696480938416423,2638.4127695560455,64,0.015412008514452014,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,36.33779048919678,1
0.004224711685129677,0.6030791788856305,4888.2402493953705,128,0.010461589992478315,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,36.24200415611267,1
0.006837443152098807,0.3494134897360704,667.837837934494,8,0.09161714546296285,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,55.16019415855408,1
0.005905085610657101,0.3590909090909091,950.1941051483154,16,0.0613743932613901,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,55.108489990234375,1
0.004787160459628518,0.4969208211143695,1517.823702096939,32,0.02707262363028312,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,45.43843865394592,1
0.004459028115876038,0.5253665689149559,2648.793215274811,64,0.021911922073919676,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,35.93730568885803,1
0.004262969520748653,0.5818181818181818,4899.978506803513,128,0.009319578130038253,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,27.25861120223999,1
0.006388772448513217,0.38152492668621707,668.1696135997772,8,0.09368676728127628,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,45.37886643409729,1
0.005649088548287499,0.46598240469208213,951.0209701061249,16,0.05613742791043047,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,55.48365020751953,1
0.005005838454756498,0.4747800586510264,1513.108276605606,32,0.02814388036160509,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,36.02413582801819,1
0.004266968122794863,0.5665689149560117,2641.3085758686066,64,0.013122392803927518,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,36.50562238693237,1
0.004199502144592414,0.5947214076246334,4901.309574604034,128,0.009186925795826084,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,54.452253341674805,1
0.007065460571689209,0.34662756598240474,669.6518280506134,8,0.11621929071586834,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,45.99080419540405,1
0.0057090404306812444,0.4117302052785924,952.5541293621063,16,0.057484780988787954,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,35.89788317680359,1
0.004708445607600955,0.5181818181818182,1514.0260663032532,32,0.04022054982397999,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,45.76492786407471,1
0.004272313371535517,0.5730205278592375,2642.8360080718994,64,0.011330809828418276,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,45.37362194061279,1
0.0042204618029053394,0.5368035190615836,4903.313401222229,128,0.009756757552432216,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,45.512282609939575,1
0.006240836540834234,0.35117302052785926,665.3003420829773,8,0.10120650022628608,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,36.656977891922,1
0.005347820272379067,0.5026392961876833,948.7993929386139,16,0.047757477300152285,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,64.88416910171509,1
0.00459506373019718,0.5243401759530792,1513.9235742092133,32,0.029496837889310845,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,36.18165159225464,1
0.004524325211034796,0.5326979472140763,2643.5175020694733,64,0.020240518467049384,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,36.17748141288757,1
0.00408864630834168,0.5766862170087976,4961.283493280411,128,0.007069841284502776,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,36.213839530944824,1
0.006421304534273361,0.30117302052785927,668.3369648456573,8,0.10431500779802177,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,46.441781997680664,1
0.005449370849356757,0.42507331378299124,949.7697741985321,16,0.07341832414702532,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,36.498141050338745,1
0.004779457450907244,0.5296187683284458,1515.1931915283203,32,0.023154532393313,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,36.25793814659119,1
0.00433200978129537,0.5765395894428151,2644.710429430008,64,0.011377267769333455,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,45.58782696723938,1
0.004030896437834739,0.6171554252199413,4974.85410451889,128,0.007855578018511389,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,36.984620571136475,1
0.00610345592344128,0.3681818181818182,676.9544777870178,8,0.11770836623021463,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,48.10995531082153,1
0.005569293576041919,0.4222873900293255,957.8564429283142,16,0.05716536900754643,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,38.65418815612793,1
0.004703485865547963,0.5381231671554252,1523.590515613556,32,0.027271622979978927,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,54.73966956138611,1
0.004344152399492546,0.5585043988269794,2651.0007557868958,64,0.014380628760765846,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,36.62409162521362,1
0.004092995929022799,0.6032258064516128,4922.928387641907,128,0.008184773447905802,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,45.387848138809204,1
0.006665769708426106,0.34736070381231676,677.9385852813721,8,0.13301560037210114,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,65.10694122314453,1
0.005370274495444231,0.47580645161290325,967.14373087883,16,0.05053010435784394,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,36.49738526344299,1
0.004894413151969784,0.5020527859237537,1536.415649175644,32,0.03183605956164609,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,36.927469968795776,1
0.004375352343895717,0.5621700879765396,2679.3254141807556,64,0.017799437040582677,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,46.253554821014404,1
0.004185769783699475,0.5973607038123167,4964.350727319717,128,0.008226843819613083,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,46.436280250549316,1
