mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.010183784179389477,0.8292480468750001,778.0195038318634,32,0.027733147343574405,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,32,995.6718602180481,1
0.009305664338171482,0.8485351562500001,1147.328068971634,64,0.0139920471969604,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,64,998.5857486724854,1
0.005989395081996918,0.8884765625000002,1829.9282910823822,128,0.007754704859779582,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,128,793.9274897575378,1
0.004049432929605246,0.9144042968750001,2638.313509941101,256,0.004358013323567778,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,256,798.0263648033142,1
0.0025079878978431225,0.946728515625,3798.273771047592,512,0.002915842273999547,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,512,993.7600932121277,1
0.016333093866705894,0.7530761718750001,779.6223278045654,32,0.02710161429562069,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,32,596.5940680503845,1
0.009562592022120953,0.8464843750000002,1194.1313426494598,64,0.014576847622452038,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,64,999.246985912323,1
0.007314731832593679,0.8658203125000001,1888.077229976654,128,0.00775738586251884,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,128,1203.3198878765106,1
0.004285284783691168,0.918212890625,2615.5906751155853,256,0.004807916146606417,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,256,798.5619719028473,1
0.004008769989013672,0.9273925781250001,3821.065622806549,512,0.00316843116680654,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,512,797.4823212623596,1
0.01549126859754324,0.781005859375,789.6632118225098,32,0.033587808155095156,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,32,793.1067354679108,1
0.009749330580234528,0.82578125,1140.457881450653,64,0.014734692033909425,expected_gradients,na,arfpy,Not needed,Not needed,Not needed,64,795.8868675231934,1
