mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.031053276172325756,1.0,4.567760705947876,8,0.03929791817443817,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,3.920260190963745,1
0.020064254535917325,1.0,4.6792521476745605,16,0.043761741115700636,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,4.158409833908081,1
0.03819499685423292,1.0,4.97849440574646,32,0.01655678445159192,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,3.9488179683685303,1
0.01350974127894801,1.0,5.8124189376831055,64,0.008792226796244584,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,3.9172310829162598,1
0.010580196879016292,1.0,8.551987409591675,128,0.0043798633849119195,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,4.144017934799194,1
0.04494555439669,1.0,4.6686694622039795,8,0.0948411394437445,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,3.8860902786254883,1
0.05715889167212947,1.0,5.133636236190796,16,0.06003674468497344,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,3.9205682277679443,1
0.01466421166732357,1.0,5.54065465927124,32,0.013245947907219668,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,3.949232816696167,1
0.010938029390124629,1.0,6.376325607299805,64,0.010994602128772124,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,4.089646577835083,1
0.012669669971920311,1.0,8.69594407081604,128,0.007800926206316006,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,3.873445987701416,1
0.06320201152876567,1.0,4.935873985290527,8,0.05828001387154025,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,3.943225383758545,1
0.018659925925419544,1.0,4.956448078155518,16,0.047335707467250465,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,4.159891128540039,1
0.014192457421783053,1.0,5.491904020309448,32,0.022234109862600437,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,3.854158401489258,1
0.012434173688303261,1.0,6.323199510574341,64,0.01197947341489658,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,3.8589723110198975,1
