mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.00602531037287236,0.6575456053067993,6.8534252643585205,8,0.03929791817443817,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,4.109417915344238,1
0.0048184938759411235,0.7228855721393035,12.087384700775146,16,0.043761741115700636,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,4.007829189300537,1
0.00409674366436857,0.7339966832504145,22.456403255462646,32,0.01655678445159192,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,3.9924323558807373,1
0.003475974564556823,0.7310116086235489,43.44129824638367,64,0.008792226796244584,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,4.304772853851318,1
0.002261162906293616,0.7928689883913763,85.6535472869873,128,0.0043798633849119195,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,3.8802402019500732,1
0.00765332279171999,0.6583747927031509,7.1253838539123535,8,0.0948411394437445,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,3.8882012367248535,1
0.0050915949074023725,0.7253731343283581,12.51181411743164,16,0.06003674468497344,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,4.18015718460083,1
0.0039955430004049945,0.733665008291874,23.2410409450531,32,0.013245947907219668,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,3.97067928314209,1
0.0027483950941284063,0.7741293532338308,43.3312246799469,64,0.010994602128772124,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,4.0139923095703125,1
0.0029711957178983144,0.7641791044776118,86.02106165885925,128,0.007800926206316006,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,4.150125026702881,1
0.007757652709541304,0.6688225538971807,6.681332111358643,8,0.05828001387154025,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,3.893974781036377,1
0.00862572620950815,0.6713101160862354,11.878387212753296,16,0.047335707467250465,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,3.9097325801849365,1
0.0033443414699461907,0.7514096185737976,22.466137647628784,32,0.022234109862600437,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,3.8256866931915283,1
0.0031725563503291507,0.7684908789386401,46.32902717590332,64,0.01197947341489658,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,3.8514115810394287,1
0.002390134251194479,0.7915422885572139,95.07244682312012,128,0.005530289590756521,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,4.0710344314575195,1
0.007435725119094193,0.684742951907131,7.0966784954071045,8,0.0777440236420579,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,4.049661874771118,1
0.00579693511374915,0.6852404643449418,12.092256546020508,16,0.07680380987084645,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,4.165062665939331,1
0.0043509847887812925,0.699004975124378,22.59172010421753,32,0.012399985131563263,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,3.917633056640625,1
0.002679181407910241,0.7585406301824212,43.65594482421875,64,0.009082579422641124,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,3.8622400760650635,1
0.0027366714130484327,0.7968490878938638,85.92767977714539,128,0.008057527909767992,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,4.1285560131073,1
0.007239094063644789,0.7346600331674958,6.7166428565979,8,0.04784667962147482,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,3.8670361042022705,1
0.005072695544757246,0.7019900497512437,11.983174800872803,16,0.019120860186352062,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,3.9258487224578857,1
0.004827685619595762,0.6804311774461027,22.385090589523315,32,0.016335059474211433,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,4.147253751754761,1
0.0030370543799521517,0.7618573797678275,45.76875901222229,64,0.013836129049624946,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,3.903308868408203,1
0.0019561067998378505,0.8218905472636815,95.12634873390198,128,0.003099521355984791,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,4.029300928115845,1
0.007930282962199242,0.7192371475953564,7.204084157943726,8,0.09228224967879994,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,4.2972095012664795,1
0.006530255719941342,0.6678275290215587,12.855979919433594,16,0.043029751154448626,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,4.090833425521851,1
0.00401853827944313,0.7225538971807628,24.22399663925171,32,0.028008398780731247,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,4.15312933921814,1
0.0034646025786991197,0.741625207296849,47.16766595840454,64,0.019188657048074043,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,3.9229090213775635,1
0.0020998256182841193,0.8038142620232173,86.49628758430481,128,0.004555640415218831,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,4.129366159439087,1
0.00916865934398059,0.6640132669983416,6.758328676223755,8,0.058306711174400894,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,3.9577672481536865,1
0.006957741413021007,0.6275290215588722,11.85500717163086,16,0.029744530361084376,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,3.949127674102783,1
0.003954427289558727,0.7734660033167495,22.46466612815857,32,0.01812105450484347,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,4.213846206665039,1
0.0031971307308112564,0.7529021558872305,43.615811824798584,64,0.008310404409119232,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,3.8772430419921875,1
0.0021647263506475033,0.8076285240464344,86.25236892700195,128,0.009443871696546258,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,3.9054508209228516,1
