mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.008583526275827117,0.6864013266998341,5.263634204864502,5,0.03535645939066845,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0015347003936767578,5
0.006522699429523953,0.6990049751243781,8.698113679885864,10,0.015891208363692066,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.005061626434326172,10
0.005370937414582908,0.7096185737976782,16.187077522277832,20,0.009850931427066167,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0016078948974609375,19
0.004985541930982702,0.6756218905472636,30.52391290664673,40,0.0041178279980633725,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.005465269088745117,40
0.003370792767176542,0.7587064676616916,59.604339599609375,80,0.004585715516056577,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0014007091522216797,80
0.007999354141945065,0.6805970149253731,5.168397903442383,5,0.0383401496684288,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0015304088592529297,5
0.007261957278179971,0.6883913764510778,8.321648120880127,10,0.015304318739814193,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0017974376678466797,10
0.004704619457946381,0.6993366500829187,16.004095554351807,20,0.011453395625220297,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0015888214111328125,20
0.004890946039670621,0.6966832504145937,30.469435214996338,40,0.003839626559646536,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0055925846099853516,35
0.0030846014313393334,0.7761194029850745,59.3032021522522,80,0.004622503452812232,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.004487037658691406,80
0.009299749386371554,0.6961857379767826,5.20546817779541,5,0.052025292512817733,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0015342235565185547,5
0.008553791810259437,0.6429519071310116,8.692229509353638,10,0.01715401482220813,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.001600027084350586,10
0.005921368196707752,0.6467661691542288,15.967931032180786,20,0.005871764265656054,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.001608133316040039,20
0.004674493676169048,0.6960199004975123,30.442590475082397,40,0.004680744782964874,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0015707015991210938,37
0.0030518246833968602,0.7747927031509121,59.537050008773804,80,0.004329407898082005,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0014455318450927734,80
0.008468802715219617,0.6777777777777777,5.099263429641724,5,0.04510514329293924,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0015115737915039062,5
0.00667945219502276,0.6805970149253731,8.715379238128662,10,0.020162484970073002,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0015821456909179688,10
0.005483386323734926,0.6792703150912106,15.90015459060669,20,0.010942783885068308,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.001605987548828125,20
0.003287445751521872,0.7451077943615255,30.685823678970337,40,0.004541717196968276,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.001569986343383789,37
0.0031366974875707333,0.7641791044776118,59.19125986099243,80,0.004149741872132906,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0013470649719238281,80
0.010016404925708617,0.7048092868988391,4.93530535697937,5,0.05166849478080049,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0015087127685546875,5
0.007973489321048457,0.6474295190713101,8.786921739578247,10,0.016008955879309616,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0016651153564453125,10
0.005775807254459533,0.666334991708126,16.056079626083374,20,0.01030215507363319,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0016033649444580078,20
0.0037240965336958784,0.7406301824212271,30.567047119140625,40,0.0038528150142871365,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0015513896942138672,38
0.002795269799736343,0.7684908789386401,59.061593532562256,80,0.003393568109409162,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.001466512680053711,80
0.00816349590812268,0.6990049751243781,5.157247066497803,5,0.036079690260618635,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0015180110931396484,5
0.006345533758495755,0.68955223880597,8.693972826004028,10,0.0184908336947619,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0017590522766113281,10
0.006304999647982433,0.6315091210613598,15.942359685897827,20,0.010866821998949505,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.001653909683227539,19
0.003743780598847849,0.7212271973466003,30.670119524002075,40,0.00583877962312862,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.001538991928100586,38
0.003286155007738947,0.7734660033167495,59.23790383338928,80,0.0040651529125883545,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0014286041259765625,80
