mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.008278995626103517,0.6719734660033168,6.021692991256714,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0024569034576416016,8
0.005579147580807255,0.6815920398009949,9.644633769989014,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004132747650146484,16
0.004418240463900525,0.6867330016583747,16.128180980682373,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.00776362419128418,32
0.0037874194539826533,0.7,26.764638423919678,64,0.018287583193865475,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.015129566192626953,64
0.0035793477031215858,0.7205638474295191,51.49914240837097,128,0.022994608582828313,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.029958486557006836,128
0.008278995626103517,0.6719734660033168,6.28618860244751,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0022902488708496094,8
0.005579147580807255,0.6815920398009949,9.622442483901978,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004118919372558594,16
0.004418240463900525,0.6867330016583747,16.28657341003418,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.007816553115844727,32
0.0037874194539826533,0.7,26.66302466392517,64,0.018287583193865475,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.015058517456054688,64
0.0035793477031215858,0.7205638474295191,51.4210786819458,128,0.022994608582828313,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03016066551208496,128
0.008278995626103517,0.6719734660033168,6.30388617515564,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002304553985595703,8
0.005579147580807255,0.6815920398009949,9.869417190551758,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.0041310787200927734,16
0.004418240463900525,0.6867330016583747,16.39759588241577,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.007769107818603516,32
