mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.006891403037712232,0.7147595356550579,7.018540620803833,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002695798873901367,8
0.004415285061816459,0.736318407960199,12.552565574645996,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004269599914550781,16
0.0035422062882888928,0.7487562189054726,23.383333921432495,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.007826805114746094,32
0.003019511399783502,0.7663349917081259,43.73005127906799,64,0.018287583193865475,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.01526641845703125,64
0.002876202843683474,0.7787728026533997,92.73826098442078,128,0.022994608582828313,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.029716968536376953,128
0.006891403037712232,0.7147595356550579,6.778961420059204,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0027055740356445312,8
0.004415285061816459,0.736318407960199,12.079509258270264,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004281759262084961,16
0.0035422062882888928,0.7487562189054726,22.59369683265686,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.007927894592285156,32
0.003019511399783502,0.7663349917081259,44.50214886665344,64,0.018287583193865475,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.01524209976196289,64
0.002876202843683474,0.7787728026533997,86.3728723526001,128,0.022994608582828313,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.029767274856567383,128
0.006891403037712232,0.7147595356550579,6.6473915576934814,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0023856163024902344,8
0.004415285061816459,0.736318407960199,11.98770809173584,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.0041768550872802734,16
0.0035422062882888928,0.7487562189054726,22.564987897872925,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.00786447525024414,32
0.003019511399783502,0.7663349917081259,44.13661456108093,64,0.018287583193865475,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.015133857727050781,64
0.002876202843683474,0.7787728026533997,94.468106508255,128,0.022994608582828313,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.029728412628173828,128
0.006891403037712232,0.7147595356550579,6.7493391036987305,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.004766702651977539,8
0.004415285061816459,0.736318407960199,11.997930526733398,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004263401031494141,16
0.0035422062882888928,0.7487562189054726,22.61470127105713,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.007967948913574219,32
0.003019511399783502,0.7663349917081259,43.83009219169617,64,0.018287583193865475,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.015199899673461914,64
0.002876202843683474,0.7787728026533997,86.23154640197754,128,0.022994608582828313,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.029865503311157227,128
0.006891403037712232,0.7147595356550579,6.83404278755188,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0023088455200195312,8
0.004415285061816459,0.736318407960199,12.19847583770752,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.00414276123046875,16
0.0035422062882888928,0.7487562189054726,22.901464700698853,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.010715723037719727,32
0.003019511399783502,0.7663349917081259,43.80158090591431,64,0.018287583193865475,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.015326976776123047,64
0.002876202843683474,0.7787728026533997,88.40301537513733,128,0.022994608582828313,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.029757022857666016,128
0.006891403037712232,0.7147595356550579,6.846808195114136,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0027496814727783203,8
0.004415285061816459,0.736318407960199,12.202184438705444,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004137516021728516,16
0.0035422062882888928,0.7487562189054726,22.7474946975708,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.00782918930053711,32
0.003019511399783502,0.7663349917081259,44.07910943031311,64,0.018287583193865475,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.015752792358398438,64
0.002876202843683474,0.7787728026533997,86.1164140701294,128,0.022994608582828313,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.030203580856323242,128
0.006891403037712232,0.7147595356550579,6.770983457565308,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0023093223571777344,8
0.004415285061816459,0.736318407960199,12.012381553649902,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004125833511352539,16
0.0035422062882888928,0.7487562189054726,22.587281465530396,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.007907390594482422,32
0.003019511399783502,0.7663349917081259,43.93834447860718,64,0.018287583193865475,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.015129327774047852,64
0.002876202843683474,0.7787728026533997,85.77935314178467,128,0.022994608582828313,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.029873371124267578,128
0.006891403037712232,0.7147595356550579,6.707838535308838,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002307415008544922,8
0.004415285061816459,0.736318407960199,11.878497838973999,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004132747650146484,16
0.0035422062882888928,0.7487562189054726,22.580892086029053,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.007852554321289062,32
0.003019511399783502,0.7663349917081259,44.02537679672241,64,0.018287583193865475,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.01522374153137207,64
0.002876202843683474,0.7787728026533997,86.53766965866089,128,0.022994608582828313,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.029818058013916016,128
0.006891403037712232,0.7147595356550579,6.724619388580322,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0023148059844970703,8
0.004415285061816459,0.736318407960199,12.2411470413208,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004200935363769531,16
0.0035422062882888928,0.7487562189054726,22.588027000427246,32,0.021471291101036183,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.007832765579223633,32
0.003019511399783502,0.7663349917081259,43.755796909332275,64,0.018287583193865475,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.01560068130493164,64
0.002876202843683474,0.7787728026533997,86.61458706855774,128,0.022994608582828313,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.02986288070678711,128
0.006891403037712232,0.7147595356550579,6.746383905410767,8,0.038416143207974596,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002413511276245117,8
0.004415285061816459,0.736318407960199,12.171812057495117,16,0.02461839415467937,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004133701324462891,16
